Target Name	101287 2001	101287 2002	101287 2004	101287 2005	101287 2007	101287 2008	101287 2011	101287 2013	101287 2014	10233 4004	10233 4005	10233 4006	10233 4007	10233 4008	10233 4009	10233 4010	10233 4011	10233 4014	10233 4015	10233 4016	10233 4017	10233 4018	10233 4019	10233 4020	107466 2003	107466 2005	107466 2006	107466 2007	107466 2008	107466 2009	107466 2010	107466 2011	107466 2012	107466 2013	107466 2015	107466 2016	107466 2017	107466 2021	98016 2006	98016 2007	98016 2009	98016 2010	98016 2014	98016 2016	98016 2018	98016 2019
CLEC14A	3.97783424	3.760745505	1.678463485	2.245763738	1.381378119	4.070028997	4.128693921	5.239405654	2.749848188	4.034735427	4.163851831	6.135934014	5.348908325	6.07638106	5.927633296	6.047821496	4.233483629	5.097991734	4.744884784	6.324165555	5.559677386	5.256065023	3.716613614	5.357584745	3.550907048	2.342849104	1.181378119	1.898370619	0.5169925	2.298370619	0.833985	1.898370619	1.7509775	1.698370619	2.195455985	2.064385619	2.427141857	2.3169925	2.376834104	6.997696673	3.501515575	5.255253057	4.491170339	2.816113546	2.110149357	2.724227223
PSMB2	5.304366089	4.115376575	3.638458563	3.800444336	2.962756238	5.374908088	5.312473433	6.002748846	4.465457897	4.568233777	5.497483717	6.65174249	6.20964243	6.630527312	6.429844014	6.649478325	4.96571377	5.518765805	5.657627518	6.910803349	6.183312138	5.904046336	4.668803197	5.860462227	4.846710829	4.234735427	3.283927322	3.151727927	2.504320088	3.738958631	3.510149357	3.440497472	3.463029912	2.593156857	3.778546507	3.354627841	4.127323508	3.13235562	3.429440985	7.212215942	3.563926053	5.574349085	4.976640821	3.403513929	3.473919469	3.367229801
IL33	3.33235562	3.272443563	1.562756238	2.354627841	0.9169925	4.068720428	3.590256943	5.29360296	2.790911969	4.140650947	5.182893962	6.539199374	6.135494284	6.744334118	6.668330556	6.19006536	5.220783773	5.332186504	5.728617685	6.697414085	6.106010815	5.811140955	5.071104633	5.693376417	2.970349808	2.944134357	0.8	1.7169925	0.9169925	2.807234723	2.467970001	2.162756238	2.015363119	2.387327588	2.770349808	1.645763738	2.395455985	2.13235562	2.912448485	7.007176533	3.640187382	5.21962238	4.798557663	3.181378119	2.768705707	3.034735427
GDF15	3.275062199	2.673919469	1.3509775	1.1509775	0.5169925	3.833606115	3.668720428	4.298933622	2.376834104	3.155451063	3.794232363	5.448645956	5.040671588	5.703431209	5.36483645	5.058105479	3.528700785	4.90226582	4.423824195	6.292668319	4.603205496	5.352698877	3.71759118	5.180142899	1.833985	1.742849104	0.4	1.328771238	0.9169925	1.878463485	1.033985	1.381378119	1.878463485	0.4	1.425856603	1.381378119	1.742849104	1.298370619	1.561470984	6.280509497	2.634735427	5.07043837	4.0664213	2.407234723	1.5169925	2.53235562
MMP7	3.302844182	3.302844182	1.7169925	1.9509775	0.8	4.039842446	3.921812656	5.233091326	2.693826604	3.804334809	3.946600415	5.889820146	4.830810953	5.657138901	5.902893218	5.670981129	3.972290089	4.800102896	4.738558001	6.260521578	5.099225687	5.349387724	3.431153388	5.123612699	1.962756238	1.633985	1.033985	1.1509775	1.381378119	0.833985	1.233985	1.7509775	1.033985	1.581378119	1.298370619	1	2.724227223	0.464385619	2.356926969	6.764292856	3.027430252	5.096352842	4.301813498	2.576834104	2.639934469	2.976834104
CDKN2D	3.864948622	3.559035445	2.059841604	1.962756238	1.698370619	4.152382954	3.924227223	5.146532612	2.99180115	4.019836682	4.843912175	6.362755963	5.672183345	6.005584438	6.019653397	6.043045656	4.472764711	5.150411191	4.850098547	6.358397927	5.70239347	5.591451117	4.191432881	5.383375025	3.409629251	3.164329887	0.9169925	2.53235562	0.7169925	2.298370619	1.3169925	1.264385619	2.937650062	1.5509775	2.487342308	2.015363119	2.810819104	1.3169925	2.882937047	6.957864128	3.714507481	5.216358186	4.793339953	3.093826604	2.838458563	3.32221649
MARCO	3.716922047	3.290757011	2.524227223	2.420657562	1.1169925	3.758639372	3.574823371	5.368467508	2.787327588	4.009927174	4.508925735	6.094779379	5.372796203	5.833473484	5.962906627	5.852157543	4.144422752	5.220027059	4.793339953	6.358280751	5.529973338	5.305886981	3.682937047	5.40407594	2.930344887	2.662236132	1.267970001	1.581378119	0.928771238	2.098370619	1.498370619	1.278463485	2.312448485	1.898370619	1.995455985	1.942849104	3.176834104	1.845763738	2.795455985	7.016928425	3.395455985	5.400226653	4.77062265	3.230330166	2.079748738	2.770349808
TXN2	5.535608608	4.432354317	3.874312793	3.602455069	2.784962501	5.246651639	5.324423594	6.08421233	4.596114388	4.875805221	5.711432413	7.054785156	6.523385758	6.733614401	6.776910827	6.706922318	5.284164495	5.87042895	5.809945161	7.199399741	6.532162844	6.0693836	4.904366089	6.221565688	4.76956379	4.145304173	2.581378119	2.882143267	2.059841604	3.610819104	3.744422752	3.245926548	3.755451063	2.590256943	4.125512476	3.251713207	3.792315939	3.510149357	3.721327309	7.509786685	3.765805793	5.983982541	5.185801716	3.852536428	3.738819877	3.219836682
FZD8	3.412948553	3.319028181	1.698370619	1.633985	1.1169925	3.788901236	3.829536386	4.945708006	2.278463485	3.439842446	4.208404538	5.898872976	5.135015113	5.584591779	5.543412107	5.513755654	3.641219723	4.791283598	4.308297794	6.262373785	5.402690707	5.118827973	3.376834104	4.969485575	2.595455985	1.898370619	1.464385619	0.5169925	0.7169925	2.33235562	2.13235562	0.9169925	1.381378119	0.8	1.898370619	1.433985	2.184962501	0.9509775	2.542849104	6.731859769	3.002035681	5.108297794	4.355401162	2.493826604	2.642863824	2.762756238
LTBP1	4.565304422	3.725050444	3.052536428	3.087342308	1.433985	4.461961211	4.363926053	5.687355726	3.399621114	4.601126006	5.576770559	6.522439497	6.475829112	6.697392266	6.591627144	6.621638208	5.099776073	5.403460252	5.659692107	6.807798567	6.350231232	5.746451367	4.855104306	6.074096626	3.041219723	3.029440985	0.864385619	1.942849104	1.064385619	2.984962501	1.981378119	1.645763738	2.725871324	1.6	2.721466063	1.898370619	2.542849104	2.615363119	2.73235562	6.814816626	3.27401487	5.190619893	4.439221	3.134750148	2.512448485	2.845763738
