	101287 2001	101287 2004	101287 2005	101287 2006	101287 2007	101287 2008	101287 2012	101287 2013	101287 2014	10233 4001	10233 4002	10233 4003	10233 4004	10233 4005	10233 4009	10233 4010	10233 4013	10233 4015	10233 4016	10233 4017	10233 4019	10233 4020	107466 2003	107466 2004	107466 2006	107466 2007	107466 2008	107466 2010	107466 2011	107466 2013	107466 2014	107466 2018	107466 2020	107466 2021	107466 2022	98016 2001	98016 2002	98016 2005	98016 2006	98016 2007	98016 2016	98016 2017
CLEC14A	6.810853385	5.776748316	4.842432833	7.553782257	5.654746431	5.63694275	5.151907184	6.138179761	5.795780444	5.487236165	6.136949335	5.156312445	6.22693129	5.394417821	6.183959226	4.591662396	4.954345927	5.467343702	4.93528371	5.253228799	3.555451063	6.257194052	1.181378119	3.268720428	2.064385619	3.418551428	3.093826604	1.433985	3.898398796	3.928700785	2.899121046	3.769220496	2.595455985	3.470656938	2.015363119	7.330660449	7.802827251	7.645762011	7.655833401	6.615098816	7.271773077	8.00117921
PSMB2	8.632607654	7.74434459	6.411426371	9.208406177	7.888630537	6.813141377	5.278202346	6.926698389	7.205344954	7.107240357	7.735014261	7.020645451	7.634072493	7.650944177	7.414364414	6.074468233	4.769456134	6.992610561	6.086650246	7.102389116	5.62868748	7.636926897	3.701955001	5.464711239	4.653513249	4.765922871	4.085222437	2.989436063	4.288149506	3.794730506	3.920242441	5.025786151	4.084211614	3.482798293	3.33252255	8.27120242	8.584285109	8.551723159	8.457216914	7.182269419	7.992072282	8.127249063
IL33	6.798404007	5.377115743	4.406275089	7.342665609	5.259991992	5.566368796	5.405786993	5.787967255	5.544832318	5.618215444	6.164473719	5.031543276	6.306151887	5.428665058	6.280315514	4.599929547	5.184000118	5.209357127	4.822597842	5.507489893	3.641646872	6.10302365	1.3169925	2.671620341	2.215363119	2.581378119	3.104320088	0.9169925	2.091065444	3.251713207	2.885698207	2.970349808	2.691065444	2.868720428	1.981378119	7.295832555	7.613593813	7.560100536	7.556024586	6.46821126	7.273433949	8.250472363
GDF15	6.23042032	5.44189377	3.954060511	6.834989332	4.746506032	4.655297588	4.427908772	5.365606837	4.989999066	4.78301197	5.561697637	4.429239646	5.418272646	5.47061468	6.11012723	4.22514777	4.265699049	4.49515935	4.014007413	4.745657558	3.124227223	5.644660944	1.1169925	2.948966767	1.5509775	2.033985	2.429440985	0	2.415363119	2.110149357	1.742849104	3.293826604	2.254642562	1.839934469	1.181378119	7.308041599	6.947358931	6.977164878	6.50662175	6.564818519	7.267621065	7.331593383
MMP7	6.67606288	5.324443506	4.218055571	7.437868974	5.304101485	5.293333073	4.860592031	5.80512867	5.371081225	5.373040515	5.962179782	5.014528325	6.275519495	5.171838496	6.017709128	4.408808371	4.712305325	5.343921381	4.620587109	5.25192949	3.273919469	5.998576368	1.1509775	2.790256943	1.7509775	2.673919469	2.704320088	0.4	3.182951768	1.7509775	2.395455985	2.645763738	1.995455985	1.8	1.645763738	7.276294911	7.589949284	7.469088029	7.195827677	6.559762743	7.179178385	7.888879949
CDKN2D	7.089929608	5.89177884	5.053286855	7.653742361	6.177047035	5.429628775	4.964329887	5.883860823	5.645544893	6.461571244	7.234980171	6.52355635	7.051872448	6.802905805	7.012268064	5.210986034	4.90307452	6.070062671	5.440173467	6.817436599	4.831714049	6.950028903	2.542849104	4.194326672	3.113733739	3.374823371	3.227430252	0.7169925	2.70790447	2.839934469	2.390256943	3.643349172	3.378119358	2.293826604	2.257542476	8.197799977	8.294240796	8.505462511	8.143167414	6.928688944	7.790034783	7.825057208
MARCO	6.914267025	5.42387989	4.535042557	7.590904416	5.693421546	5.541055434	4.964182459	5.812866619	5.796483024	5.445323126	6.126178953	5.17499672	6.349505982	5.461357196	6.269230467	4.761792835	5.024821422	5.231719442	4.628438243	5.531484321	3.853920311	6.202903387	1.4	3.041219723	2.233985	2.565944547	2.418947501	1.033985	1.867970001	2.524227223	2.659841604	3.171100235	2.504320088	2.245763738	1.615363119	7.466608237	7.793673859	7.727451077	7.291320232	6.727344072	7.343338408	8.115073881
TXN2	8.587091984	7.810517358	6.743636799	9.147208761	7.770729928	6.80311055	5.746454357	7.110194236	7.157530844	7.10414812	7.738065877	7.017680401	7.630325538	7.588493845	7.40870196	6.122128192	5.290762511	6.973054947	6.094353534	7.231612587	5.567647106	7.626120966	3.645883938	4.682023442	4.300290861	4.612392753	4.242504977	2.225856603	4.284795111	4.000668444	3.806512472	5.060076322	4.001953698	4.099039063	3.238319809	8.567879532	8.826123915	8.760459761	8.682682601	7.439289744	8.276446437	8.539179481
FZD8	6.582129152	5.262744221	4.681546495	7.246399104	5.139511851	5.174563152	4.998963866	5.720197996	5.321619373	5.40414554	6.101124703	5.210249025	6.275733886	5.555287452	6.018407864	4.3904362	4.858307892	5.501519301	4.760663522	5.542778651	3.897241307	6.002069833	1.633985	3.090242222	2.015363119	2.645763738	2.554627841	1.1169925	2.1509775	2.362756238	2.44934812	3.180022413	1.859841604	2.342849104	1.7169925	7.412432667	7.711124529	7.661204169	7.319760912	6.515483187	7.275338033	7.786850314
LTBP1	7.741069336	6.87589701	5.957813304	8.411877849	6.939970841	6.489561993	5.448289519	6.876114731	6.675973799	5.76979974	6.678906555	5.611326855	6.539468589	6.042720113	6.66133481	5.095752344	4.869584386	5.565391217	5.195847564	5.807660595	4.360341672	6.505333474	1.781378119	3.102844182	2.659841604	3.630844955	3.841219723	0.2	2.181378119	2.804334809	3.033914548	3.193841325	2.919028181	2.959856324	2.215363119	7.401623465	7.890359535	7.846529131	7.317370617	6.635224325	7.413523326	8.234998051
