"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"AMH",1.9338887521,7.08258379548485,10.2008049548923,6.76836490333839e-12,1.53303465060614e-09,17.1276795580104
"CD44",1.82107053214138,7.59604085182461,2.79266982783302,0.00850987774255266,0.0383579563918045,-3.36965441274787
"FOS",1.78241070284429,6.70559980492195,6.40322004019655,2.55905626096958e-07,1.13097803533583e-05,6.71836334302217
"EGR1",1.37744031486177,6.57999142902112,7.07138330067712,3.57149798234868e-08,2.35590201222133e-06,8.66396399614413
"H3C2",1.32290872989126,9.45885012602617,5.68414028412386,2.19498024205458e-06,6.54007564665946e-05,4.59987449169285
"TRDC",1.23969039199511,7.07086510176859,3.44273482009885,0.00154185452696929,0.0104247776226431,-1.76783975388058
"ROR2",1.1228830479852,5.80473236084068,5.27571269546139,7.47457847786939e-06,0.000159340425904698,3.39586346168268
"CDKN2C",1.06257174743683,6.80021552682186,11.5823728798016,2.28962672996158e-13,1.38293454489679e-10,20.4503959730705
"FOXC1",0.97014693751725,6.2674515890326,8.08497327599118,1.95296928616433e-09,2.45879686834455e-07,11.5377147304525
"NR4A1",0.879554136234384,6.51957029140312,5.17991710216943,9.95989679362527e-06,0.000200525922111655,3.11435314478192
"NTRK1",0.858888577489861,5.77010211815703,5.30633783438449,6.81882018646316e-06,0.000154042663648165,3.48595851596553
"BCL2",0.855468765084266,7.01616581868044,17.0689359795683,2.82641076818952e-18,5.1214563119594e-15,31.3358445867208
"HMGN5",0.827797838471212,5.84853427952801,3.41786395211987,0.00165025968743161,0.0109942210962307,-1.83233473420173
"ID1",0.826848753528672,6.39182318440083,3.62973125397087,0.000919957667176206,0.00709346082095015,-1.27601762600217
"JUNB",0.826455474113287,6.37836043299174,4.17258007553288,0.000196108242657108,0.00200761658584565,0.210182651873652
"SAMD9",0.819885049923427,5.70174572797107,4.92935672198442,2.1066510014237e-05,0.000343896541854031,2.38090901346838
"SSX1",0.81373916169633,7.70723581972039,4.83680572525928,2.77576166152408e-05,0.000415676043857986,2.11133918907916
"DUSP1",0.79836626767669,6.32035644614555,5.61121770578719,2.73179667702488e-06,7.7343993418267e-05,4.38464446948992
"OAS1",0.798021411600582,5.57125004271947,4.63338565518182,5.07766479739518e-05,0.00064662974541899,1.5221528542422
"IFI6",0.795064984669698,6.77130208186042,2.47894526186639,0.018281185554204,0.0684021879206134,-4.06874196135901
"SFN",0.784581622455595,6.06806381356749,3.73013861650847,0.000694560160569603,0.00569170955042732,-1.00723487149768
"PSMB9",0.777210912898835,6.01193574343985,2.9993307913571,0.00502631034610585,0.0257278936359994,-2.88087260205078
"MPPED1",0.765026751042309,5.79086335736364,2.18711397045061,0.0356886930025263,0.109052127690687,-4.66649619207345
"PTTG1",0.754524175091492,6.41786502478972,9.35708410865534,6.04597732918032e-11,9.95937356406795e-09,14.970345673872
"PBK",0.752765531791142,6.09520883171258,8.40067491099928,8.08970082620412e-10,1.12757983823707e-07,12.4089679280658
"HSPB1",0.749434860495222,7.29012919161249,3.53305244794708,0.00120292161933468,0.00876313724093637,-1.53177847603456
"HSPA2",0.741520422680886,6.90168650305601,5.62428705366711,2.62674236646842e-06,7.55501137784249e-05,4.4232147866037
"PVRIG",0.727505707880071,7.17381664972452,5.07549293555624,1.36143666627764e-05,0.000254321983432483,2.8081134812171
"SFRP1",0.723153732835548,5.50718621943297,3.39324561711263,0.0017647517902653,0.011628109978039,-1.89595179016723
"DACH2",0.721003105872262,6.57957676630487,4.62365962530184,5.22593480721701e-05,0.00065369216336484,1.49411164654711
