,logFC,AveExpr,t,P.Value,adj.P.Val,B
MMP3,0.306437619,5.312089251,4.525754818,7.00E-05,0.005094021,1.567181653
CCL19,-0.674650168,5.523208706,-4.343775112,0.000119455,0.00745264,1.062563637
DNAJC14,0.227594839,6.475867201,4.318387437,0.000128653,0.007519978,0.992572747
ESR2,0.226570954,5.394249001,4.004365283,0.000319375,0.015175343,0.136706203
ACVR1C,0.271921699,5.253731852,3.953955045,0.000368968,0.015918351,0.001229882
THBS4,0.287383378,5.246594423,3.881989507,0.000453002,0.017464676,-0.191135486
RXRG,0.264552311,5.226447395,3.736308909,0.000683927,0.02136683,-0.576515879
IL19,0.224965082,5.359392178,3.652962883,0.000863783,0.024357969,-0.794378024
PGM2,0.276044756,5.706018293,3.646920429,0.00087847,0.024357969,-0.810094143
TDO2,0.217236992,5.218844964,3.621044007,0.000944143,0.024988646,-0.877273929
BAMBI,0.353015987,5.318422903,3.570944575,0.001085042,0.027997405,-1.006760739
MCAT,0.280087533,5.784598807,3.566977373,0.001097029,0.027997405,-1.016981041
ASPG,0.265901267,5.425444673,3.561498993,0.001113791,0.028030409,-1.03108629
APOA1,0.242331312,5.233593423,3.515349377,0.001265152,0.029788809,-1.149528226
PEBP1,0.504423376,8.137891726,3.484218857,0.001378252,0.030832009,-1.229032982
SOX10,0.250152205,5.23186777,3.405632545,0.001708711,0.034402048,-1.428284702
CTSG,0.31008424,5.134032351,3.376854419,0.001847791,0.03679338,-1.50071417
MIF,0.515001809,8.378381664,3.307679848,0.002227891,0.039969691,-1.67359346
TTC30A,0.407872478,5.333523458,3.285390469,0.002365557,0.041571359,-1.728921757
PYCR2,0.26430101,6.081979185,3.278623415,0.002408936,0.041571359,-1.745682344
HACD2,0.261288864,5.584408356,3.267089892,0.002484628,0.042268791,-1.774208344
ANP32B,0.283182098,8.187398904,3.264348224,0.002502952,0.042268791,-1.78098187
CCR3,0.214242356,4.964774574,3.252184367,0.002585819,0.042986274,-1.810998907
MLF1,0.47757676,5.580069692,3.233577032,0.002717667,0.044239996,-1.85680598
ERCC2,0.233619583,5.908245227,3.204618779,0.002935692,0.045465584,-1.927825172
FOXM1,0.454215779,6.646576199,3.197330862,0.002993132,0.045734515,-1.945646301
RAD21,0.605025019,7.993460988,3.185081027,0.003092098,0.046349946,-1.975552992
HPRT1,0.426259682,6.009908609,3.184713809,0.003095112,0.046349946,-1.976448588
CD74,-2.909956045,8.846957704,-9.117085176,1.17E-10,2.11E-07,14.14038322
CXCL9,-1.866519127,6.589138949,-7.645027771,6.88E-09,3.84E-06,10.31879545
IL32,-0.715519927,5.567846199,-7.582602691,8.23E-09,3.84E-06,10.15030404
HLA-DRA,-2.023964011,7.461043906,-7.572631945,8.47E-09,3.84E-06,10.12334774
HLA-DRB,-1.88869776,7.482052039,-6.805631903,7.86E-08,2.85E-05,8.016047217
HLA-DPA1,-0.79271002,6.141762189,-6.471138926,2.11E-07,6.37E-05,7.079079333
LCP1,-1.044126932,6.107877855,-6.218576462,4.47E-07,0.000115662,6.366125329
HLA-DRB3,-1.297732471,6.433041893,-5.828136437,1.43E-06,0.000324941,5.257411102
TRBC1/2,-0.760612652,6.016096433,-5.253469681,8.03E-06,0.001614733,3.620433252
IL2RG,-0.378908454,5.462807635,-5.218691695,8.91E-06,0.001614733,3.521514023
B2M,-1.597666217,10.10523768,-5.15251264,1.09E-05,0.001789475,3.333410602
TNFAIP3,-0.449156262,5.565506953,-5.008333414,1.67E-05,0.00235244,2.924345369
HLA-DMA,-0.790064788,5.930051444,-5.005094576,1.69E-05,0.00235244,2.915169936
PTPRC,-0.912387523,5.812164205,-4.946892366,2.01E-05,0.002598671,2.750405754
PSMB10,-0.485320203,5.58817063,-4.904133426,2.28E-05,0.002691889,2.629513599
CD8A,-0.386050915,5.092945982,-4.87868671,2.46E-05,0.002691889,2.557634967
HLA-B,-1.484780976,9.256526557,-4.86990322,2.53E-05,0.002691889,2.532836577
C1R,-0.557556767,5.902291484,-4.821589235,2.92E-05,0.002935391,2.396548083
SERPING1,-0.733179638,6.451664695,-4.777615757,3.32E-05,0.003169156,2.272684186
SPN,-0.323030197,5.168730607,-4.672127876,4.54E-05,0.004116672,1.976323081
ITGB2,-0.830531974,5.905622048,-4.648692983,4.87E-05,0.004202282,1.910645745
HLA-DQA1,-0.544601792,5.744002535,-4.61008659,5.46E-05,0.004496397,1.802587597
LYZ,-1.794283523,7.277937971,-4.580439502,5.96E-05,0.004694527,1.719727585
ANXA1,-0.599986965,5.316174859,-4.524476682,7.03E-05,0.005094021,1.5636209
COL6A3,-0.997819914,7.00139678,-4.411879605,9.79E-05,0.006819885,1.250832906
IFITM1,-1.04620846,5.849578826,-4.374608929,0.00010915,0.007325181,1.147710417
HLA-DMB,-0.687606844,5.768755184,-4.356177347,0.0001152,0.00745264,1.096793672
TNFRSF1B,-0.513643009,5.706758801,-4.332691461,0.000123388,0.00745264,1.031994161
WIPF1,-0.615239062,5.690843193,-4.279986578,0.000143905,0.008148599,0.886912579
HLA-F,-1.187982591,7.30122046,-4.258997731,0.000152978,0.008399874,0.829269827
GIMAP4,-0.40529397,5.315509857,-4.212206239,0.000175276,0.009341165,0.701049012
