Name	Description	X101287.2001	X101287.2002	X101287.2004	X101287.2005	X101287.2007	X101287.2008	X101287.2011	X101287.2013	X101287.2014	X10233.4004	X10233.4005	X10233.4006	X10233.4007	X10233.4008	X10233.4009	X10233.4010	X10233.4011	X10233.4014	X10233.4015	X10233.4016	X10233.4017	X10233.4018	X10233.4019	X10233.4020	X107466.2003	X107466.2005	X107466.2006	X107466.2007	X107466.2008	X107466.2009	X107466.2010	X107466.2011	X107466.2012	X107466.2013	X107466.2015	X107466.2016	X107466.2017	X107466.2021	X98016.2006	X98016.2007	X98016.2009	X98016.2010	X98016.2014	X98016.2016	X98016.2018	X98016.2019
CLEC14A	na	1.336582848	1.409025903	1.190889553	1.311278648	1.317464003	1.268884625	1.308150344	1.247499357	1.225248562	1.312527431	1.183466111	1.290398655	1.262246035	1.333970389	1.25352991	1.357295971	1.294213391	1.311929268	1.228353631	1.244530189	1.305459781	1.208468452	1.255474005	1.333970389	1.34114157	1.224761101	1.302280915	1.3249114	1.134828445	1.288307802	1.028769929	1.343164162	1.227419906	1.327174022	1.268504715	1.317833745	1.229517974	1.38078948	1.169106912	1.368063938	1.353621749	1.339961773	1.269856734	1.232234408	1.155650751	1.248283548
PSMB2	na	1.622763003	1.541481777	1.600721771	1.616548858	1.635065858	1.611043323	1.581748151	1.532462732	1.640501425	1.508153499	1.509891206	1.463558682	1.474281546	1.502066539	1.456723033	1.504558323	1.448913126	1.451438606	1.481318482	1.46922397	1.465082442	1.497514246	1.464372384	1.489393854	1.573476504	1.55705597	1.616548858	1.550947604	1.541896668	1.533064282	1.523886175	1.613502683	1.505035914	1.504558323	1.535231822	1.533982304	1.575424406	1.500411943	1.502066539	1.495919716	1.383614798	1.503775139	1.523886175	1.479059297	1.591189919	1.528150073
IL33	na	1.142461934	1.196104845	1.162538813	1.333478575	1.201517044	1.26838014	1.132719234	1.269856734	1.237204964	1.354705187	1.442994556	1.430636949	1.459721295	1.530620806	1.524761426	1.391004844	1.493854196	1.398953455	1.493854196	1.399525058	1.446783496	1.465586673	1.545106017	1.448041636	1.238416107	1.336446968	1.232029915	1.296215155	1.234170571	1.371614525	1.354850598	1.393863298	1.275395708	1.459532758	1.375608359	1.242674956	1.220702735	1.352295899	1.339192006	1.377943077	1.418530953	1.318523827	1.438998069	1.381478787	1.371924224	1.391603434
GDF15	na	1.124970965	0.992810899	1.115333902	1.056680759	1.108349078	1.18296191	1.164872604	0.787726321	1.12630997	0.955828339	1.039955238	0.882892013	1.140227658	1.175583807	0.979851743	0.892908526	1.067454635	1.231428476	1.082847483	1.22877011	0.90953567	1.252914357	1.256073013	1.259690272	0.953185298	1.08587529	1.136564621	1.228253308	1.234170571	1.205988958	1.082847483	1.239126209	1.249377804	1.013779377	1.103787698	1.182045934	1.051491559	1.20829887	0.953185298	0.945354017	1.022314423	1.22877011	1.074996563	1.114947861	1.006923482	1.187667317
MMP7	na	1.131781053	1.208129259	1.201391095	1.244530189	1.171332829	1.258268305	1.252807644	1.245457812	1.208983609	1.217863373	1.102476902	1.167073294	1.038915354	1.151464328	1.239270031	1.214857196	1.221058682	1.187381339	1.226724943	1.208794549	1.133498729	1.252209242	1.159560051	1.236901206	0.997915496	1.067862831	1.276987852	1.187906569	1.335036016	0.900468713	1.127307901	1.31452215	1.080208821	1.297241151	1.076089302	1.08587529	1.301881124	0.998600456	1.165389274	1.216308598	1.167214536	1.244135589	1.183902671	1.161636928	1.3249114	1.363967622
CDKN2D	na	1.311929268	1.322442937	1.275195208	1.248626018	1.400321834	1.29134509	1.253645712	1.203984541	1.293840557	1.307479241	1.367161233	1.377943077	1.347810412	1.306989529	1.294213391	1.355387586	1.345793933	1.33264517	1.266318335	1.259221123	1.34744497	1.380367592	1.371271666	1.34488277	1.310316109	1.37228115	1.254414015	1.442810797	1.187002864	1.288307802	1.144635924	1.212154248	1.424537113	1.289961939	1.323890632	1.309607095	1.328654583	1.214717224	1.327676842	1.339662846	1.446409765	1.315533323	1.435223672	1.341315927	1.402017073	1.515966431
MARCO	na	1.26405113	1.201642977	1.381892632	1.347120613	1.251967481	1.155406332	1.124148241	1.304972928	1.23525909	1.302553409	1.29117877	1.271120209	1.268504715	1.232844473	1.268884625	1.290611773	1.270225343	1.360324163	1.246407949	1.258925249	1.297963756	1.23260876	1.24588809	1.352562329	1.22984952	1.292613231	1.317695172	1.270922017	1.243290541	1.252693067	1.182185507	1.214430115	1.328796209	1.367861873	1.230043149	1.293350415	1.399848229	1.310449593	1.290611773	1.384924312	1.29960245	1.422056236	1.419561213	1.40680318	1.147446231	1.266495133
TXN2	na	1.673152559	1.624305344	1.642852648	1.585667492	1.603159111	1.577307453	1.585667492	1.558438132	1.668641903	1.589431174	1.55299724	1.563235944	1.543952712	1.526449508	1.551310914	1.517345494	1.506541801	1.549895495	1.514596409	1.542672177	1.542257471	1.546432357	1.512083096	1.585172632	1.563235944	1.53928825	1.513527539	1.506904292	1.465957832	1.512083096	1.559273632	1.582934765	1.55299724	1.503946976	1.596785174	1.517905196	1.520265248	1.566415777	1.573476504	1.611693706	1.464372384	1.634164384	1.597841726	1.619641838	1.643563826	1.465334589
FZD8	na	1.172788808	1.214282977	1.195511097	1.172439006	1.251967481	1.165268627	1.221976824	1.106356486	1.103136916	1.083660594	1.201391095	1.17301733	1.187813801	1.11266459	1.059685687	1.140829466	1.103787698	1.181673717	1.032171811	1.209956944	1.25352991	1.135889717	1.143784343	1.16952074	1.155148531	1.12999038	1.342547215	1.038915354	1.187002864	1.296096027	1.302192968	1.137067876	1.152986374	1.128442241	1.210522299	1.194427899	1.165268627	1.129407739	1.213934533	1.196800566	1.159242126	1.250490065	1.205804474	1.138103101	1.326769675	1.263945702
LTBP1	na	1.475368304	1.393713878	1.494305482	1.494305482	1.330259615	1.38811151	1.365900874	1.440178001	1.412920329	1.520265248	1.524342548	1.425593488	1.531523197	1.517345494	1.509515661	1.497514246	1.471589382	1.421190583	1.482846668	1.435223672	1.501221365	1.442264216	1.501621757	1.544733217	1.252807644	1.348198343	1.245676872	1.331376384	1.273699692	1.401269976	1.278349258	1.293246153	1.391410531	1.305638167	1.367161233	1.284535041	1.255371511	1.423255468	1.273174858	1.245097978	1.255688611	1.300299481	1.242674956	1.354705187	1.278861632	1.301358031
ROR2	na	1.626072767	1.600091898	1.520925622	1.543488839	1.544406075	1.48877398	1.528876526	1.444460776	1.538269544	1.311136674	1.214055959	1.18296191	1.301681306	1.22984952	1.194330611	1.261807388	1.184643744	1.166231724	1.279787536	1.182442816	1.173140415	1.22984952	1.286433843	1.214717224	0.990372229	1.32045457	1.264522227	1.2161231	1.206507057	1.342547215	1.295797335	1.289501615	1.234262843	1.269300509	1.23326173	1.300895548	1.458890213	1.151087715	1.351647626	1.142748813	1.215022975	1.091021447	1.378918422	1.146592954	1.310449593	1.321728659
CT45A1	na	1.086572341	1.102476902	0.741341647	1.256148839	1.369742361	1.24347169	1.299449795	1.109986195	1.244332908	0.650582721	1.091021447	1.118540264	1.243071879	0.966365646	0.835920197	0.876837054	0.998600456	0.827817111	1.213813092	1.189688822	1.210347907	1.079376675	1.16963579	0.99408692	0.876837054	1.057111055	1.269856734	1.157282829	0.94794799	0.979851743	0.827817111	1.157282829	0.85143874	1.388739159	1.149229322	0.827817111	1.326769675	0.85143874	1.371769387	1.092453198	1.269955097	1.334841124	1.412332944	0.987910561	1.458890213	1.028156365
ATG7	na	1.602046822	1.57251522	1.589671164	1.576445878	1.588424176	1.559273632	1.618430314	1.576445878	1.601482552	1.545106017	1.527374118	1.522820153	1.535705662	1.536939203	1.56227329	1.536091191	1.56227329	1.544406075	1.557508949	1.55299724	1.566415777	1.537896049	1.518775822	1.513286693	1.620239247	1.625003159	1.582739576	1.609559325	1.561414139	1.650587993	1.632096225	1.628682661	1.614178518	1.585172632	1.585667492	1.611693706	1.638766312	1.581748151	1.563721881	1.506541801	1.520265248	1.525574967	1.523571188	1.512869951	1.572960569	1.277590527
PDCD1LG2	na	1.351845465	1.275500231	1.37144311	1.340814331	1.394012696	1.34920535	1.301681306	1.307238343	1.082847483	1.290907378	1.307479241	1.325720939	1.311420602	1.36009337	1.325459985	1.29314188	1.303890272	1.339034676	1.29875604	1.397101512	1.416166156	1.18501333	1.339034676	1.301027763	1.218748332	1.340159117	1.389202404	1.430815334	1.463207889	1.351647626	1.360462205	1.367962911	1.387872122	1.430401662	1.351297566	1.477119025	1.427532926	1.488908815	1.137454226	1.339349311	1.253345629	1.313557788	1.467780281	1.311278648	1.256148839	1.447012523
MRC1	na	1.36869154	1.409951781	1.431604898	1.442445627	1.450978019	1.432724542	1.518544108	1.390721255	1.435223672	1.631322818	1.434779351	1.282912562	1.580267877	1.480902138	1.537441945	1.372915265	1.433810629	1.497514246	1.5077543	1.430993687	1.560563825	1.331376384	1.433398219	1.455155207	1.275851649	1.595074058	1.567911859	1.560172806	1.580017149	1.511649966	1.383614798	1.55573263	1.567702077	1.541896668	1.54110043	1.511649966	1.617623055	1.413159492	1.639312942	1.461073251	1.554195068	1.636584485	1.273699692	1.545809807	1.463946247	1.448363034
PIK3CG	na	1.360727324	1.090327656	1.325212932	1.1929233	1.201517044	1.25352991	1.368433576	1.275291174	1.183466111	1.337696875	1.441619126	1.483270116	1.442994556	1.404109864	1.391004844	1.478678384	1.452284302	1.418025544	1.412167779	1.419561213	1.437093187	1.517905196	1.431438754	1.463207889	1.357497634	1.374701789	1.362872145	1.350221453	1.410970181	1.367629618	1.499477207	1.491071505	1.503135693	1.500886503	1.399225767	1.486776077	1.473867476	1.5077543	1.483716354	1.338493017	1.308813302	1.292979991	1.342690059	1.273699692	1.465334589	1.293840557
PPP2R2C	na	1.159887631	1.136868394	0.939782043	1.025652905	1.23407829	1.203984541	1.250866887	1.088783262	1.074630492	1.057541165	1.042920333	1.030801918	1.003257694	0.945354017	1.083313629	1.052381918	1.068270861	0.997915496	1.176347847	0.976187026	1.07069193	1.109363803	1.045731511	1.102476902	1.251506652	1.163395135	1.215620439	1.201391095	1.100927193	1.158909919	1.138210619	0.955828339	1.148326418	1.219834044	1.286793303	1.194427899	0.876837054	1.061003528	1.219966124	1.106356486	0.84395815	1.045731511	1.07069193	1.04533745	0.882892013	1.248283548
IL3RA	na	1.233635022	1.358230818	1.409750267	1.285037024	1.400321834	1.353918395	1.278236058	1.282439136	1.155650751	1.286793303	1.480093023	1.548601328	1.463207889	1.398953455	1.38811151	1.442264216	1.520687893	1.454730302	1.320964498	1.446783496	1.355862868	1.446409765	1.630562198	1.390721255	1.306989529	1.240149605	1.286297464	1.254241721	1.134828445	1.222245692	1.267199054	1.302417171	1.428675489	1.261661216	1.325852227	1.417536832	1.253850358	1.323890632	1.580267877	1.314928937	1.265802613	1.218029456	1.381246895	1.091021447	1.24588809	1.29117877
LRRN3	na	1.180691718	1.315251104	1.224761101	1.076089302	1.23407829	1.248152286	1.074996563	1.019190185	1.158105102	1.15843587	1.213307002	1.160703619	1.039955238	1.170243917	1.019190185	1.130405447	1.128970771	1.109986195	1.218247509	1.032171811	1.139592349	1.16888883	1.126595808	1.157414455	1.166231724	1.12999038	1.105107209	1.11477614	1.217058179	1.210347907	1.21295184	0.955828339	1.23674619	1.142748813	1.202990945	1.208129259	1.102476902	1.16952074	1.19805432	1.16030999	1.073353092	1.226724943	1.154279926	1.103787698	1.172439006	1.102270251
COX6B1	na	1.819174637	1.733065629	1.76883301	1.781698288	1.831092222	1.741059919	1.761576452	1.70608353	1.810485673	1.717042511	1.742421284	1.718301751	1.724891958	1.721434146	1.720291064	1.712199237	1.697560114	1.70024041	1.707032629	1.695461821	1.718301751	1.713068018	1.698489134	1.728367862	1.773539343	1.775314853	1.761576452	1.778556646	1.686649699	1.677318181	1.694468832	1.742421284	1.789157703	1.773539343	1.77183248	1.711194727	1.773539343	1.716177796	1.792409581	1.770430682	1.826452476	1.763480728	1.787691115	1.751858562	1.77183248	1.739659834
CLCF1	na	1.260787751	1.183058289	1.341490253	1.248626018	1.108349078	1.192769499	1.190341024	1.23260876	1.273699692	1.249237068	1.272938664	1.324360303	1.203642343	1.241159425	1.29117877	1.29960245	1.254241721	1.283969307	1.239126209	1.288383516	1.245097978	1.226285855	1.224644471	1.191413614	1.234434102	1.25596388	1.338704841	1.245006756	1.341740646	1.248812697	1.231838848	1.137067876	1.230706868	1.35273722	1.303605059	1.244712836	1.292715659	1.21852398	1.189129147	1.249518521	1.266495133	1.276668357	1.21156739	1.188628857	1.29960245	1.38209406
