Name	Description	X101287.2001	X101287.2004	X101287.2005	X101287.2006	X101287.2007	X101287.2008	X101287.2013	X101287.2014	X10233.4001	X10233.4002	X10233.4003	X10233.4004	X10233.4005	X10233.4009	X10233.4010	X10233.4015	X10233.4016	X10233.4017	X10233.4019	X10233.4020	X107466.2003	X107466.2004	X107466.2006	X107466.2007	X107466.2010	X107466.2018	X107466.2020	X98016.2001	X98016.2002	X98016.2005	X98016.2006	X98016.2007	X98016.2016
CLEC14A	na	1.671017195	1.694748351	1.68995285	1.685876975	1.686842041	1.679309977	1.711222801	1.715576215	1.657513123	1.641873615	1.670656742	1.642294382	1.612057257	1.6408054	1.645528181	1.694219258	1.688142523	1.596703282	1.605242242	1.6636579	1.609422261	1.654072723	1.632264058	1.697184049	1.718055434	1.709347306	1.64285812	1.653483169	1.700513221	1.676537954	1.732457268	1.672000166	1.659294627
PSMB2	na	1.964450141	1.953026665	1.912600537	1.965944107	1.963762667	1.9235477	1.886123564	1.943598434	1.937082523	1.935069921	1.935069921	1.944085973	1.956130503	1.92533268	1.927130329	1.945897289	1.941308934	1.915644744	1.914740965	1.949093847	1.864541038	1.940785825	1.891295445	1.871793418	1.913771791	1.862428645	1.846158658	1.885516004	1.895088808	1.893042416	1.883911151	1.876019517	1.870199817
IL33	na	1.66636831	1.603578573	1.609870328	1.622766447	1.606747942	1.662380505	1.632186168	1.659294627	1.689336049	1.649851354	1.641316882	1.663402027	1.620822119	1.670656742	1.647041076	1.635524156	1.65946195	1.65626456	1.621812088	1.621379421	1.624601774	1.566389297	1.645654808	1.624247113	1.65705853	1.620689327	1.655035669	1.642394642	1.638087198	1.650282912	1.711222801	1.629669109	1.660219691
GDF15	na	1.518549906	1.619642673	1.515971621	1.485706835	1.479466093	1.396693786	1.529118346	1.512943803	1.464843567	1.485706835	1.493350801	1.396693786	1.631485203	1.621860685	1.566620663	1.464843567	1.464843567	1.396693786	1.530832008	1.479466093	1.602051198	1.605448822	1.588088266	1.567227597	1.532557662	1.661017091	1.60402844	1.645246011	1.469292142	1.485706835	1.469292142	1.656050097	1.658217502
MMP7	na	1.630136781	1.591867738	1.574889431	1.649467024	1.616864187	1.59996073	1.6354113	1.613948049	1.626466944	1.594054739	1.637091211	1.65542338	1.555299201	1.598277281	1.608187085	1.667343984	1.612465405	1.596040508	1.558503575	1.591386274	1.606344382	1.582963978	1.607116254	1.63456752	1.592697425	1.571807739	1.569299849	1.635648141	1.631890674	1.621476408	1.620019028	1.654758274	1.633045376
CDKN2D	na	1.740954285	1.715576215	1.721189532	1.72095155	1.756987337	1.631890674	1.653370286	1.684334033	1.843209099	1.860556593	1.866583097	1.842056303	1.838791179	1.847972275	1.772625958	1.804561163	1.823164886	1.874335252	1.807270043	1.826523779	1.745158417	1.784384443	1.707858583	1.692979155	1.636224781	1.696586476	1.749288448	1.870570334	1.838078543	1.885516004	1.828801507	1.802948192	1.823895284
MARCO	na	1.704814668	1.613948049	1.635250769	1.698761234	1.69512916	1.656424445	1.637939256	1.716117674	1.645902407	1.639967036	1.674739755	1.678013225	1.628433765	1.667541205	1.680996069	1.641488726	1.615530753	1.661174924	1.658136279	1.650282912	1.632801505	1.61972956	1.647041076	1.622766447	1.670041275	1.645809074	1.633157272	1.701073465	1.696194358	1.705521961	1.645356071	1.720672968	1.685221915
TXN2	na	1.959292262	1.963029917	1.950462086	1.958196841	1.951761989	1.921637555	1.922260256	1.93453738	1.936269257	1.935653483	1.93453738	1.943084997	1.943598434	1.9230742	1.937693655	1.941308934	1.944085973	1.932991812	1.908013797	1.944639431	1.856046397	1.848459138	1.842802686	1.849917681	1.817680411	1.867061015	1.838600629	1.937693655	1.941849053	1.930853314	1.922260256	1.93244047	1.933516378
FZD8	na	1.603578573	1.574889431	1.66285809	1.596585989	1.572790584	1.57059608	1.615425402	1.602118551	1.634613395	1.632801505	1.681748849	1.655540305	1.651027452	1.598643393	1.601217938	1.700513221	1.645445446	1.663788468	1.666052012	1.592784265	1.655365663	1.627797499	1.629016735	1.63160622	1.679309977	1.647041076	1.546170819	1.678013225	1.666827179	1.683160311	1.652578564	1.642519488	1.661094985
LTBP1	na	1.842802686	1.844378456	1.84956113	1.856046397	1.849917681	1.867061015	1.877206677	1.870570334	1.722887524	1.762031762	1.740386391	1.728980801	1.7296843	1.772625958	1.747770715	1.711648231	1.760106036	1.712789428	1.736113958	1.726985051	1.67043261	1.629953966	1.677694058	1.722210008	1.565830941	1.648293831	1.685453849	1.675027118	1.734345277	1.744716067	1.651904553	1.679309977	1.711416
