,X101287.2001,X101287.2004,X101287.2005,X101287.2006,X101287.2007,X101287.2008,X101287.2012,X101287.2013,X101287.2014,X10233.4001,X10233.4002,X10233.4003,X10233.4004,X10233.4005,X10233.4009,X10233.4010,X10233.4013,X10233.4015,X10233.4016,X10233.4017,X10233.4019,X10233.4020,X107466.2003,X107466.2004,X107466.2006,X107466.2007,X107466.2010,X107466.2018,X107466.2020,X98016.2001,X98016.2002,X98016.2005,X98016.2006,X98016.2007,X98016.2016,X98016.2017
CLEC14A,1.681835144,1.704251884,1.699730306,1.695887834,1.696796105,1.689707637,1.676042479,1.719758111,1.723832515,1.669041891,1.653990809,1.681487331,1.654385281,1.625071665,1.652938821,1.657521787,1.712389511,1.703744112,1.698023481,1.61021988,1.618487403,1.674865378,1.622525685,1.665711127,1.644678875,1.706538375,1.726161452,1.718007041,1.654928613,1.665152252,1.709701149,1.687073936,1.739663136,1.682782926,1.670748417,1.691831201
PSMB2,1.959978636,1.948862969,1.909939224,1.961438979,1.95931728,1.92035019,1.715625589,1.884653879,1.939756287,1.933502168,1.931540065,1.931540065,1.940240888,1.951907853,1.922131238,1.923858896,1.647088707,1.941990846,1.937540544,1.912832005,1.911979236,1.945085793,1.864075479,1.937043519,1.889640581,1.870997755,1.911041651,1.862046389,1.846555157,1.884065941,1.893259062,1.891317186,1.882558209,1.875014032,1.869457755,1.763253502
IL33,1.677436898,1.616869493,1.622956483,1.635549519,1.619933544,1.673677268,1.764451521,1.644603168,1.670748417,1.699143966,1.661639569,1.653428684,1.674621343,1.633619453,1.681487331,1.658968143,1.853494211,1.647834381,1.670912504,1.667833361,1.634618508,1.634160011,1.637320578,1.580449354,1.65764866,1.636974375,1.668598117,1.633487252,1.666640137,1.654495728,1.65031987,1.662059926,1.719758111,1.642205705,1.671621061,1.827955993
GDF15,1.533454746,1.632441994,1.53086449,1.501069321,1.494441534,1.41094901,1.504864699,1.543647035,1.527819138,1.479121881,1.501069321,1.508639905,1.41094901,1.643918707,1.63466884,1.580674044,1.542346301,1.479121881,1.479121881,1.41094901,1.545360721,1.494441534,1.615376883,1.61868357,1.601767175,1.581251644,1.546970854,1.672365898,1.617301955,1.65724086,1.484089141,1.501069321,1.484089141,1.667617438,1.669715104,1.526000679
MMP7,1.642651426,1.605490678,1.588735277,1.661278421,1.629749751,1.613354557,1.604691747,1.647729694,1.626913214,1.639118826,1.607648971,1.649363282,1.667011591,1.569515515,1.611745802,1.62132403,1.633619453,1.678354888,1.625461887,1.609588935,1.572725599,1.60500269,1.619543414,1.596668256,1.620298684,1.646889714,1.606324716,1.585707571,1.583302249,1.647955985,1.644320984,1.634266315,1.63282766,1.666360456,1.645426997,1.65303319
CDKN2D,1.747618462,1.723832515,1.729086183,1.728861772,1.762661736,1.644320984,1.631523853,1.665040253,1.694409073,1.843755244,1.860272197,1.866000814,1.842671863,1.839587968,1.848295285,1.777347055,1.689533345,1.807289895,1.82478928,1.873414436,1.809850932,1.827955993,1.751580085,1.788336319,1.716616243,1.702582421,1.648506767,1.705974799,1.755461861,1.869835086,1.838919495,1.884065941,1.83011901,1.805774583,1.82547262,1.633202824
MARCO,1.71375799,1.626913214,1.647576707,1.708034568,1.704608394,1.667990328,1.631392633,1.650176572,1.724333389,1.657890002,1.652130322,1.685375396,1.688483401,1.64101482,1.678537975,1.691291931,1.7502873,1.65359573,1.628425718,1.672516634,1.669635781,1.662059926,1.645190462,1.63253066,1.658968143,1.635549519,1.680903051,1.657801415,1.645535254,1.710229053,1.705603762,1.714422585,1.657344384,1.728606025,1.695243237,1.755736894
TXN2,1.954971822,1.958570129,1.946403934,1.953880535,1.947647157,1.918510172,1.876497666,1.919095798,1.931015201,1.932706823,1.932087258,1.931015201,1.939267297,1.939756287,1.919899368,1.934066105,1.901669673,1.937540544,1.940240888,1.929489113,1.905541452,1.940764745,1.855962221,1.848752071,1.843380848,1.850127057,1.819637013,1.866471838,1.839409925,1.934066105,1.938080789,1.927396761,1.919095798,1.928949277,1.930003467,1.925943639
FZD8,1.616869493,1.588735277,1.674119987,1.610101168,1.586680981,1.584558444,1.636855452,1.628316337,1.615443996,1.646933187,1.645190462,1.691996408,1.667121789,1.662785754,1.612122852,1.61457797,1.670981141,1.709701149,1.657439118,1.674989141,1.677130736,1.606418767,1.666955521,1.640400308,1.641584651,1.644038012,1.689707637,1.658968143,1.560558203,1.688483401,1.677865223,1.693312015,1.664283182,1.654614166,1.672438313,1.622956483
LTBP1,1.843380848,1.844865709,1.849791818,1.855962221,1.850127057,1.866471838,1.780434598,1.876144174,1.869835086,1.730682259,1.767388425,1.74709217,1.736404291,1.737060432,1.777347055,1.754042902,1.675583723,1.720155647,1.765580761,1.721218225,1.743092641,1.734527375,1.681275288,1.642480571,1.688180219,1.730042131,1.579919318,1.66017237,1.695474707,1.685659427,1.741443622,1.751164957,1.663625656,1.689707637,1.719939273,1.819637013
