"","X101287.2001","X101287.2004","X101287.2005","X101287.2006","X101287.2007","X101287.2008","X101287.2012","X101287.2013","X101287.2014","X10233.4001","X10233.4002","X10233.4003","X10233.4004","X10233.4005","X10233.4009","X10233.4010","X10233.4013","X10233.4015","X10233.4016","X10233.4017","X10233.4019","X10233.4020","X107466.2003","X107466.2004","X107466.2006","X107466.2007","X107466.2010","X107466.2018","X107466.2020","X98016.2001","X98016.2002","X98016.2005","X98016.2006","X98016.2007","X98016.2016","X98016.2017"
"CLEC14A",1.68183514447231,1.70425188429914,1.69973030599729,1.6958878340038,1.69679610478559,1.68970763701427,1.67604247859049,1.71975811080198,1.72383251483648,1.66904189052775,1.65399080896657,1.6814873313703,1.65438528129214,1.62507166468615,1.65293882149906,1.65752178701224,1.7123895112,1.70374411192386,1.698023481336,1.6102198800566,1.61848740270721,1.67486537829113,1.62252568451082,1.66571112666434,1.64467887531649,1.70653837537127,1.72616145165687,1.71800704091882,1.65492861332977,1.66515225177612,1.70970114920594,1.68707393620173,1.73966313597549,1.68278292629169,1.67074841712288,1.69183120148435
"PSMB2",1.95997863576476,1.94886296890685,1.90993922363794,1.96143897908543,1.95931728035943,1.9203501904281,1.71562558880017,1.88465387876543,1.93975628668288,1.93350216828276,1.93154006451298,1.93154006451298,1.94024088842469,1.95190785280561,1.92213123772132,1.92385889585452,1.64708870677807,1.94199084624718,1.93754054382565,1.91283200499834,1.91197923568832,1.94508579285518,1.86407547878997,1.93704351905549,1.88964058105383,1.87099775516766,1.91104165127763,1.86204638895787,1.84655515709771,1.88406594147338,1.89325906185978,1.89131718618893,1.88255820920508,1.87501403204339,1.86945775468077,1.76325350184388
"IL33",1.67743689849533,1.61686949266432,1.6229564833518,1.63554951862222,1.61993354418217,1.6736772678469,1.76445152055067,1.64460316820246,1.67074841712288,1.69914396627613,1.66163956926276,1.65342868449025,1.67462134270848,1.63361945253589,1.6814873313703,1.65896814343254,1.85349421106891,1.64783438143486,1.67091250360396,1.66783336064903,1.63461850846964,1.63416001107214,1.63732057834343,1.58044935434301,1.65764866013401,1.63697437519725,1.66859811662669,1.63348725247799,1.66664013749334,1.65449572768698,1.65031986951923,1.66205992609476,1.71975811080198,1.64220570528863,1.67162106131734,1.82795599346411
"GDF15",1.53345474606456,1.63244199353092,1.53086448995353,1.50106932104951,1.49444153362789,1.41094900985279,1.50486469885906,1.54364703466671,1.5278191381666,1.47912188113023,1.50106932104951,1.50863990493554,1.41094900985279,1.64391870742413,1.63466883950019,1.58067404420855,1.54234630071633,1.47912188113023,1.47912188113023,1.41094900985279,1.5453607208736,1.49444153362789,1.61537688340648,1.61868357026707,1.6017671745997,1.58125164435182,1.54697085416919,1.67236589799845,1.61730195540457,1.65724086024885,1.48408914104035,1.50106932104951,1.48408914104035,1.66761743790004,1.66971510391145,1.5260006789891
"MMP7",1.64265142641205,1.6054906776763,1.58873527733337,1.66127842138273,1.62974975079561,1.6133545573182,1.60469174693828,1.64772969395413,1.62691321395598,1.63911882585515,1.60764897137169,1.64936328151655,1.66701159143707,1.56951551487389,1.61174580171324,1.62132402954908,1.63361945253589,1.67835488778175,1.62546188656478,1.60958893500184,1.57272559874229,1.60500269025557,1.61954341443792,1.59666825553925,1.62029868434257,1.64688971367818,1.60632471563131,1.58570757149488,1.58330224888343,1.64795598521438,1.64432098402222,1.63426631470437,1.63282766034497,1.66636045574767,1.64542699655659,1.65303319029471
"CDKN2D",1.74761846238113,1.72383251483648,1.72908618310697,1.72886177207138,1.7626617364203,1.64432098402222,1.63152385304411,1.6650402525221,1.6944090729027,1.84375524388869,1.86027219655993,1.86600081442866,1.84267186254728,1.83958796823127,1.84829528535136,1.77734705530471,1.68953334539456,1.80728989465397,1.82478927988697,1.87341443601738,1.80985093230984,1.82795599346411,1.75158008532863,1.78833631865001,1.71661624296487,1.70258242096537,1.64850676671232,1.70597479944458,1.75546186102916,1.86983508561644,1.8389194950689,1.88406594147338,1.83011901020999,1.80577458310068,1.82547261981045,1.63320282399196
"MARCO",1.71375799045435,1.62691321395598,1.64757670668868,1.70803456797722,1.70460839401644,1.66799032764078,1.63139263300713,1.65017657241013,1.7243333885769,1.65789000176955,1.65213032205559,1.68537539608679,1.68848340141442,1.64101482020412,1.67853797547509,1.69129193117491,1.75028730010402,1.65359572988653,1.62842571789669,1.67251663366541,1.66963578131426,1.66205992609476,1.64519046230719,1.63253065952079,1.65896814343254,1.63554951862222,1.68090305148683,1.65780141529495,1.64553525415513,1.71022905332671,1.70560376203344,1.71442258494674,1.65734438439484,1.72860602548949,1.6952432369528,1.75573689350118
"TXN2",1.9549718219637,1.95857012886511,1.94640393433758,1.95388053461363,1.94764715723354,1.91851017167732,1.8764976660361,1.91909579831319,1.93101520099622,1.93270682291634,1.9320872579554,1.93101520099622,1.93926729744807,1.93975628668288,1.91989936751196,1.93406610518039,1.90166967258859,1.93754054382565,1.94024088842469,1.92948911250325,1.90554145225962,1.94076474543483,1.85596222085465,1.84875207136984,1.84338084771721,1.85012705725327,1.81963701273045,1.86647183826464,1.83940992450887,1.93406610518039,1.93808078934759,1.92739676077492,1.91909579831319,1.92894927728913,1.9300034672622,1.92594363935519
"FZD8",1.61686949266432,1.58873527733337,1.67411998673617,1.61010116823689,1.5866809813274,1.58455844408575,1.63685545160124,1.62831633674048,1.6154439963482,1.64693318670897,1.64519046230719,1.69199640774561,1.66712178915659,1.66278575391804,1.61212285220524,1.61457797032388,1.67098114066257,1.70970114920594,1.6574391177801,1.67498914062116,1.67713073551087,1.60641876671357,1.66695552063566,1.64040030831946,1.64158465097163,1.64403801246343,1.68970763701427,1.65896814343254,1.56055820251265,1.68848340141442,1.67786522258212,1.69331201458424,1.66428318203573,1.65461416631559,1.6724383129527,1.6229564833518
"LTBP1",1.84338084771721,1.84486570884632,1.84979181818089,1.85596222085465,1.85012705725327,1.86647183826464,1.78043459792082,1.87614417376235,1.86983508561644,1.73068225885667,1.76738842457906,1.74709216979509,1.73640429130602,1.73706043189092,1.77734705530471,1.75404290200619,1.67558372345979,1.72015564687584,1.76558076067072,1.72121822534034,1.74309264061568,1.73452737502181,1.68127528823446,1.64248057077537,1.68818021946336,1.73004213133153,1.57991931789249,1.66017237049783,1.69547470716898,1.68565942673086,1.74144362194442,1.75116495734825,1.66362565635176,1.68970763701427,1.71993927294096,1.81963701273045
"ROR2",1.97583759555989,1.96881395392157,1.97527099345901,1.96616336244294,1.97169775376575,1.94076474543483,1.73068225885667,1.9444433097406,1.97641994620316,1.76187882977872,1.7262289248895,1.75594750962219,1.73044785257266,1.72860602548949,1.70922079321126,1.72843670004351,1.6227543228073,1.73987300241831,1.73086819209634,1.73618640319228,1.73758201610264,1.74709216979509,1.5912806379483,1.61906394907592,1.61526060786819,1.62520708058959,1.63273032535947,1.5916696503557,1.61669033878122,1.70892951606998,1.69865957463345,1.70332900264024,1.66955645242449,1.66881142663973,1.64684623875741,1.64866731256888
"CT45A1",1.59632847815394,1.53873475626456,1.62015953785883,1.56915661450623,1.64837545939385,1.63554951862222,1.54234630071633,1.61606252926164,1.64060689989134,1.56644324383064,1.62608821352364,1.56374756867074,1.64006701525944,1.59871997739976,1.5166263207593,1.47912188113023,1.6911193932569,1.51189707518733,1.461359916564,1.53680412271025,1.41094900985279,1.66896938583636,1.48927873377834,1.69554468861451,1.46863165900787,1.57822513729134,1.54697085416919,1.57772191619699,1.6242985990289,1.57961392857024,1.61259294617115,1.57888957928824,1.61928147303857,1.56933608079124,1.54455922390542,1.59678848415943
"ATG7",1.84758354018902,1.85784887599209,1.87462513111431,1.85145242052939,1.84913381012908,1.87099775516766,1.88964058105383,1.85847877149684,1.87076189092762,1.81301061953422,1.81116600794717,1.8199206002657,1.80701403677362,1.80260630687685,1.8092346081015,1.78573176621114,1.8178031307506,1.81744414844193,1.82231605707401,1.7879369367388,1.76944743563753,1.81018685015797,1.88683404370808,1.88325561439859,1.84945041816191,1.86103560996332,1.89916392909552,1.91954871613039,1.89605779170005,1.75262360996828,1.76187882977872,1.74734029986469,1.75116495734825,1.74267191361092,1.75481359143223,1.87696725143019
"PDCD1LG2",1.60751356328917,1.67513370240687,1.66269087059792,1.63962113960091,1.67525072560306,1.66387881639209,1.66571112666434,1.65770721513748,1.63006390163343,1.62123956035699,1.62191418134207,1.58164464750586,1.62157454982177,1.6724383129527,1.63139263300713,1.64765320324704,1.67924462784467,1.67964190664168,1.63471572138698,1.60352250701003,1.64837545939385,1.62423081072506,1.67321320305722,1.63208505780994,1.63355335469155,1.70425188429914,1.62203456661747,1.63348725247799,1.57195234791936,1.63886241353252,1.65399080896657,1.63685545160124,1.63845689695065,1.70947721431249,1.64498899054492,1.66870562362696
